tourname name,minimum UTR,gender,date
Italian Open,12.5,Male,May 7 2026
Canadian Open,12,Male,Jul 27 2026
Monte-Carlo Masters,11.2,Male,Apr 6 2026
Rio Open,13.1,Male,Feb 17 2026
China Open,12.5,Male,Sep 24 2026
Brisbane International,3,Male,Dec 30 2026
Dubai Tennis Championships,11,Female,Mar 8 2026
Charleston Open,11.5,Female,Apr 4 2026
Thailand Open,10.2,Female,Jan 31 2026
Portugal Open,9,Female,Apr 25 2026
Linz Open,12.5,Female,Oct 10 2026
Australian Open,2,Female,Jan 3 2026
Birmingham Classic,12.5,Female,Jun 6 2026
